iter	Passed	Remaining
877	11526	14729
878	11531	14706
879	11540	14687
880	11546	14665
881	11552	14644
882	11559	14622
883	11565	14600
884	11571	14578
885	11577	14556
886	11585	14537
887	11591	14515
888	11626	14530
889	11636	14513
890	11650	14501
891	11661	14485
892	11669	14466
893	11676	14445
894	11684	14425
895	11691	14405
896	11718	14410
897	11724	14388
898	11733	14369
899	11740	14348
900	11746	14327
901	11753	14307
902	11759	14285
903	11766	14265
904	11772	14243
905	11778	14222
906	11796	14215
907	11808	14201
908	11818	14184
909	11827	14166
910	11835	14148
911	11848	14135
912	11854	14113
913	11860	14092
914	11879	14086
915	11887	14067
916	11896	14049
917	11902	14029
918	11909	14008
919	11915	13987
920	11921	13966
921	11928	13946
922	11934	13925
923	11941	13906
924	11954	13893
925	11965	13877
926	11971	13856
927	11978	13837
928	11984	13816
929	11991	13796
930	12001	13780
931	12036	13792
932	12086	13822
933	12128	13842
934	12135	13823
935	12145	13806
936	12151	13785
937	12158	13765
938	12164	13744
939	12170	13724
940	12176	13703
941	12183	13683
942	12190	13664
943	12208	13657
944	12215	13636
945	12226	13622
946	12234	13604
947	12244	13587
948	12255	13572
949	12261	13552
950	12269	13534
951	12297	13537
952	12315	13529
953	12328	13517
954	12338	13501
955	12346	13483
956	12354	13464
957	12359	13443
958	12365	13423
959	12372	13403
960	12378	13383
961	12385	13364
962	12391	13344
963	12409	13336
964	12415	13316
965	12423	13298
966	12435	13283
967	12443	13265
968	12452	13249
969	12459	13230
970	12466	13211
971	12473	13192
972	12480	13173
973	12499	13166
974	12508	13149
975	12515	13131
976	12522	13111
977	12528	13091
978	12537	13075
979	12543	13055
980	12550	13036
981	12556	13017
982	12564	12998
983	12571	12980
984	12590	12974
985	12602	12960
986	12610	12942
987	12617	12923
988	12626	12907
989	12634	12889
990	12645	12874
991	12652	12856
992	12660	12838
993	12667	12820
994	12695	12822
995	12718	12821
996	12744	12821
997	12780	12831
998	12789	12815
999	12802	12802
1000	12826	12801
1001	12834	12783
1002	12842	12765
1003	12850	12747
1004	12857	12730
1005	12864	12711
1006	12872	12693
1007	12879	12675
1008	12887	12657
1009	12898	12643
1010	12909	12628
1011	12916	12609
1012	12927	12595
1013	12932	12575
1014	12940	12557
1015	12946	12538
1016	12953	12520
1017	12959	12501
1018	12965	12482
1019	12972	12463
1020	12989	12455
1021	12995	12436
1022	13002	12418
1023	13008	12399
1024	13014	12379
1025	13023	12363
1026	13031	12346
1027	13040	12329
1028	13048	12313
1029	13057	12296
1030	13073	12287
1031	13083	12271
1032	13093	12256
1033	13100	12239
1034	13108	12221
1035	13116	12205
1036	13123	12186
1037	13130	12169
1038	13136	12150
1039	13142	12131
1040	13155	12119
1041	13163	12101
1042	13168	12083
1043	13175	12064
1044	13182	12046
1045	13188	12028
1046	13194	12010
1047	13201	11992
1048	13207	11973
1049	13217	11958
1050	13236	11951
1051	13245	11936
1052	13252	11918
1053	13262	11903
1054	13271	11887
1055	13279	11871
1056	13288	11855
1057	13299	11841
1058	13305	11823
1059	13324	11816
1060	13334	11800
1061	13340	11782
1062	13347	11765
1063	13353	11746
1064	13360	11729
1065	13366	11711
1066	13372	11693
1067	13379	11676
1068	13385	11657
1069	13392	11640
1070	13406	11629
1071	13414	11612
1072	13420	11594
1073	13428	11578
1074	13435	11560
1075	13443	11544
1076	13452	11528
1077	13461	11513
1078	13469	11496
1079	13477	11480
1080	13497	11474
1081	13505	11458
1082	13594	11510
1083	13625	11513
1084	13632	11496
1085	13640	11480
1086	13647	11462
1087	13660	11450
1088	13667	11433
1089	13675	11417
1090	13707	11421
1091	13771	11451
1092	13789	11442
1093	13804	11432
1094	13902	11490
1095	13909	11472
1096	13915	11454
1097	13932	11445
1098	13949	11436
1099	13956	11418
1100	13963	11401
1101	13971	11384
1102	13981	11370
1103	13991	11355
1104	13999	11338
1105	14006	11321
1106	14020	11310
1107	14027	11292
1108	14033	11275
1109	14039	11257
1110	14046	11239
1111	14052	11221
1112	14058	11203
1113	14065	11186
1114	14072	11169
1115	14079	11152
1116	14086	11135
1117	14102	11125
1118	14109	11108
1119	14119	11093
1120	14129	11079
1121	14136	11062
1122	14145	11047
1123	14153	11030
1124	14162	11015
1125	14173	11001
1126	14181	10985
1127	14197	10975
1128	14204	10958
1129	14212	10942
1130	14218	10924
1131	14226	10908
1132	14231	10890
1133	14237	10873
1134	14245	10856
1135	14251	10839
1136	14258	10822
1137	14264	10805
1138	14280	10795
1139	14287	10778
1140	14294	10761
1141	14300	10743
1142	14308	10728
1143	14317	10712
1144	14325	10697
1145	14333	10681
1146	14342	10666
1147	14349	10649
1148	14357	10633
1149	14381	10629
1150	14389	10613
1151	14395	10596
1152	14401	10579
1153	14408	10562
1154	14414	10545
1155	14420	10528
1156	14426	10511
1157	14432	10493
1158	14439	10477
1159	14445	10460
1160	14454	10445
1161	14460	10428
1162	14466	10411
1163	14475	10396
1164	14480	10379
1165	14487	10362
1166	14493	10345
1167	14498	10328
1168	14507	10312
1169	14514	10296
1170	14524	10282
1171	14547	10277
1172	14556	10262
1173	14566	10248
1174	14576	10234
1175	14586	10220
1176	14593	10204
1177	14601	10188
1178	14607	10171
1179	14613	10154
1180	14619	10138
1181	14625	10121
1182	14640	10111
1183	14646	10094
1184	14653	10078
1185	14659	10061
1186	14667	10046
1187	14674	10030
1188	14681	10014
1189	14687	9997
1190	14694	9981
1191	14700	9965
1192	14713	9952
1193	14722	9938
1194	14731	9923
1195	14739	9908
1196	14748	9893
1197	14756	9878
1198	14767	9865
1199	14773	9848
1200	14783	9834
1201	14789	9818
1202	14807	9809
1203	14814	9794
1204	14819	9777
1205	14825	9760
1206	14831	9744
1207	14837	9727
1208	14843	9711
1209	14849	9694
1210	14855	9678
1211	14862	9663
1212	14869	9647
1213	14881	9635
1214	14887	9618
1215	14894	9602
1216	14899	9586
1217	14905	9569
1218	14913	9555
1219	14920	9539
